,customer_id,rcpt_domain_legacy_isp,rcpt_domain_other,total_injection_count,total_injection_count_tracked,complaint_count,trap_count,open_count,admin_csl_bounce,admin_gsl_bounce,admin_other_bounce,block_bounce,dns_failure_bounce,generic_bounce,hard_bounce,mailbox_full_bounce,other_bounce,smart_send_suppression_bounce,soft_bounce,timeout_bounce,too_large_bounce,transient_failure_bounce,undetermined_bounce,rcpt_domain_legacy_isp_percent,rcpt_domain_other_percent,total_injection_count_tracked_percent,complaint_count_percent,trap_count_percent,open_count_percent,admin_csl_bounce_percent,admin_gsl_bounce_percent,admin_other_bounce_percent,block_bounce_percent,dns_failure_bounce_percent,generic_bounce_percent,hard_bounce_percent,mailbox_full_bounce_percent,other_bounce_percent,smart_send_suppression_bounce_percent,soft_bounce_percent,timeout_bounce_percent,too_large_bounce_percent,transient_failure_bounce_percent,undetermined_bounce_percent,terminated
0,0,340,11557,11897,0,1,4,,738,6,,29,,,11,67,,,,4,,,1,0.028578633,0.971421367,0,8.41E-05,0.000336219,0,0.062032445,0.000504329,0,0.002437589,0,0,0.000924603,0.005631672,0,0,0,0.000336219,0,0,8.41E-05,FALSE
1,1,,2230977,2230977,0,,,,,,,,,,84,,,,,,,,3490,0,1,0,0,0,0,0,0,0,0,0,0,3.77E-05,0,0,0,0,0,0,0,0.001564337,FALSE
2,2,733,29865,30598,0,,1,,4419,44,,18,5,,4,,,,,58,,,75,0.023955814,0.976044186,0,0,3.27E-05,0,0.144421204,0.001438002,0,0.000588274,0.000163409,0,0.000130727,0,0,0,0,0.001895549,0,0,0.002451141,FALSE
3,3,,21120,21120,53,1,3,12,484,51,,11,5,3,30,3,,,,417,,,4,0,1,0.00250947,4.73E-05,0.000142045,0.000568182,0.022916667,0.002414773,0,0.000520833,0.000236742,0.000142045,0.001420455,0.000142045,0,0,0,0.019744318,0,0,0.000189394,FALSE
4,4,,1766,1766,1766,,,20,,,,,,,,,,,,,,,,0,1,1,0,0,0.011325028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
5,5,,4757,4757,0,,1,,852,4,,,23,,103,,,,,25,,1,1,0,1,0,0,0.000210217,0,0.179104478,0.000840866,0,0,0.00483498,0,0.021652302,0,0,0,0,0.005255413,0,0.000210217,0.000210217,FALSE
6,6,94,13450,13544,0,,,9444,25,2,,12,4,,21,2,,,,6,,,4,0.006940343,0.993059657,0,0,0,0.69728293,0.001845836,0.000147667,0,0.000886001,0.000295334,0,0.001550502,0.000147667,0,0,0,0.000443001,0,0,0.000295334,FALSE
7,7,4,1534,1538,0,,,,89,5,,24,,,14,,,,,6,,,,0.00260078,0.99739922,0,0,0,0,0.05786736,0.003250975,0,0.015604681,0,0,0.009102731,0,0,0,0,0.00390117,0,0,0,FALSE
8,8,,1482,1482,1482,,,640,17,1,,,1,,3,,,,,2,,,,0,1,1,0,0,0.431848853,0.011470985,0.000674764,0,0,0.000674764,0,0.002024291,0,0,0,0,0.001349528,0,0,0,FALSE
9,9,241,12502,12743,12743,,,110,2640,,,,,57,,,,,,39,,,64,0.018912344,0.981087656,1,0,0,0.00863219,0.207172565,0,0,0,0,0.004473044,0,0,0,0,0,0.003060504,0,0,0.005022365,FALSE
10,10,43,11795,11838,0,1,,4,436,1,,20,3,,53,15,,,,10,,,1,0.00363237,0.99636763,0,8.45E-05,0,0.000337895,0.036830546,8.45E-05,0,0.001689475,0.000253421,0,0.004477108,0.001267106,0,0,0,0.000844737,0,0,8.45E-05,FALSE
11,11,1385,20641,22026,22026,,,34423,34,42,,2,2,,78,,,,,8,,,,0.062880232,0.937119768,1,0,0,1.562834832,0.00154363,0.001906837,0,9.08E-05,9.08E-05,0,0.003541269,0,0,0,0,0.000363207,0,0,0,FALSE
12,12,133,3851,3984,3981,,,4679,10,1,,11,,,5,,,,,71,,,2,0.033383534,0.966616466,0.999246988,0,0,1.174447791,0.00251004,0.000251004,0,0.002761044,0,0,0.00125502,0,0,0,0,0.017821285,0,0,0.000502008,TRUE
13,13,1145,117675,118820,118799,5,21,8329,12387,359,,205,16,12,458,601,,,,,,12,101,0.009636425,0.990363575,0.999823262,4.21E-05,0.000176738,0.070097627,0.104250126,0.003021377,0,0.001725299,0.000134657,0.000100993,0.00385457,0.005058071,0,0,0,0,0,0.000100993,0.000850025,FALSE
14,14,,5122,5122,0,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
15,15,59,1565,1624,0,1,6,,,,,21,4,1,108,,,,,,,,8,0.036330049,0.963669951,0,0.000615764,0.003694581,0,0,0,0,0.012931034,0.002463054,0.000615764,0.066502463,0,0,0,0,0,0,0,0.004926108,FALSE
